CODICE_PROFESSIONE;DESCRIZIONE_PROFESSIONE
211;IMPRENDITORI TITOLARI E AMMIN. DELEGATI DI IMPRESE INDUSTRIALI, DEI TRASPORTI, DEL CREDITO DEI SERVIZI
212;IMPRENDITORI TITOLARI E AMMIN. DELEGATI DI IMPRESE COMMERCIALI
213;IMPRENDITORI TITOLARI E AMMIN. DELEGATI DI PUBBLICI ESERCIZI
214;DIRETTORI E CATEGORIE SIMILARI DELLE INDUSTRIE, DEI TRASPORTI, DEL CREDITO E DEI SERVIZI
215;DIRETTORI E CATEGORIE SIMILARI DEL COMMERCIO
216;DIRETTORI E CATEGORIE SIMILARI DEI PUBBLICI ESERCIZI
217;DIRETTORI GENERALI E CATEGORIE SIMILARI DELLA PUBBLICA AMMINISTRAZIONE
221;IMPIEGATI AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO
222;BIBLIOTECARI, IMPIEGATI DI ARCHIVIO E ASSIMILATI
223;CANCELLIERI E UFFICIALI GIUDIZIARI
224;CAPISTAZIONE E ASSIMILATI
225;TITOLARI DI UFFICI POSTALI, TELEGRAFICI E ASSIMILATI
226;ANALISTI E PROGRAMMATORI DI CALCOLATORI ELETTRONICI E DI MACCHINE CONTABILI
227;CAPITRENO E ASSIMILATI
228;CASSIERI DI NEGOZI
229;CONTABILI, ECONOMI, CASSIERI NON ALTROVE CLASSIFICATI
231;DATTILOGRAFI E STENOGRAFI
232;OPERATORI DI MACCHINE CONTABILI E CALCOLATRICI
233;OPERATORI DI MACCHINE PERFORATRICI
234;OPERATORI DI CALCOLATORI ELETTRONICI, DI MACCHINE TRADIZIONALI E ASSIMILATI
235;FATTORINI E BIGLIETTAI
236;PORTALETTERE E FATTORINI POSTALI
237;TELEFONISTI E TELEGRAFISTI
238;PESATORI E MISURATORI
239;IMPIEGATI AMMINISTRATIVI NON ALTROVE CLASSIFICATI
241;UFFICIALI
242;SOTTUFFICIALI
243;GRADUATI E MILITARI DI CARRIERA
251;UFFICIALI DEI CARABINIERI, DI POLIZIA, DELLA GUARDIADI FINANZA, DEI VIGILI DEL FUOCO E ASSIMILATI
252;ISPETTORI GENERALI DI P.S., QUESTORI, COMMISSARI DI POLIZIA E ASSIMILATI
253;SOTTUFFICIALI DEI CARABINIERI, DI POLIZIA, DELLA GUARDIA DI FINANZA, DEI VIGILI DEL FUOCO E ASSIMILATI
254;CARABINIERI, AGENTI DI POLIZIA, GUARDIE DI FINANZA, VIGILI DEL FUOCO E ASSIMILATI
311;CONDUTTORI DI AZIENDE AD ORDINAMENTO PRODUTTIVO MISTO E ASSIMILATI
312;CONDUTTORI DI AZIENDE AD ORDINAMENTO PRODUTTIVO SPECIALIZZATO E ASSIMILATI
313;CONDUTTORI ALLEVATORI E ASSIMILATI
314;DIRETTORI E CATEGORIE SIMILARI DELLE AZIENDE AGRICOLE, FORESTALI E ZOOTECNICHE
321;LAVORATORI AGRICOLI GENERICI
322;LAVORATORI AGRICOLI SPECIALIZZATI
323;CONDUCENTI DI MACCHINE AGRICOLE
324;PASTORI E GUARDIANI DI ANIMALI
331;LAVORATORI FORESTALI E BOSCHIVI
332;CARBONAI
341;PESCATORI E ASSIMILATI
342;CACCIATORI
411;SONDATORI E PERFORATORI
412;MINATORI E CAVATORI
413;MANOVALI DI MINIERA E DI CAVA
414;OPERAI ADDETTI ALLA ESTRAZIONE E ALLA PREPARAZIONEDEI MINERALI NON ALTROVE CLASSIFICATI
421;FONDITORI, FORNAIOLI E FORMATORI
422;LAMINATORI E TRAFILATORI
423;GALVANOPLASTIERI, CEMENTATORI E TEMPERATORI
431;FABBRIFERRAI E FUCINATORI
432;ALESATORI, FRESATORI E TORNITORI
433;FINITORI E PULITORI DI PRODOTTI MECCANICI
434;UTENSILISTI ED ATTREZZISTI DI OFFICINA
435;INCISORI DI METALLI, ORAFI E ARGENTIERI
436;OPERAI METALLURGICI NON ALTROVE CLASSIFICATI
441;MECCANICI GENERICI E RIPARATORI MECCANICI
442;MECCANICI MONTATORI
443;MECCANICI E RIPARATORI MECCANICI DI PROTESI
444;MECCANICI DI PRECISIONE E OROLOGIAI
445;LUBRIFICATORI E PULITORI
451;CARPENTIERI IN FERRO
452;SALDATORI
453;LAMIERISTI E RAMAI
461;FRANTUMATORI, CEMENTIERI E ASSIMILATI
462;TAGLIATORI, LEVIGATORI, MODELLATORI, DI PIETRE E ASSIMILATI
463;VETRAI
464;CERAMISTI E TERRACOTTAI
465;FORNACIAI DI LATERIZI
466;MOLATORI, LUCIDATORI E SMERIGLIATORI, DI PIETRE E VETRO
467;INCISORI, DECORATORI, MOSAICISTI, DI PIETRE, CERAMICHE E VETRO
511;MUGNAI E RISIERI
512;PANETTIERI E PASTAI
513;PASTICCIERI, CARAMELLAI E ASSIMILATI
514;ZUCCHERIERI
515;MACELLATORI, INSACCATORI, SALATORI E ASSIMILATI
516;CONSERVIERI
517;CASARI
518;VINIFICATORI, BIRRAI, LAVORATORI DI ACQUE MINERALI, DI BEVANDE ALCOOLICHE E ANALCOOLICHE
519;CERNITORI DI PRODOTTI AGRICOLI E ADDETTI ALLA LAVORAZIONE DEI PRODOTTI ALIMENTARI NON ALTROVE CLASSIFICATI
521;CONDIZIONATORI DEL TABACCO
522;SIGARAI, SIGARETTAI E ALTRI CONFEZIONATORI DEL TABACCO
531;CERNITORI, ASSICCATORI, LAVATORI, CARDATORI E ASSIMILATI
532;FILATORI
533;TESSITORI
534;FINITORI DI FILATI E TESSUTI
535;CANDEGGIATORI E TINTORI DI FILATI E TESSUTI
536;STAMPATORI DI TESSUTI 
537;OPERAI TESSILI NON ALTROVE CLASSIFICATI
541;BIANCHERISTI E CAMICIAI
542;MAGLIERISTI E CALZETTAI
543;SARTI E CONFEZIONATORI DI PELLICCE
544;CRAVATTAI, CAPPELLAI, GUANTAI E ASSIMILATI
545;RICAMATRICI, ORNATORI E ASSIMILATI
546;BOTTONIERI E ASSIMILATI
547;TAPPEZZIERI E MATERASSAI
548;LAVORATORI DELL'ABBIGLIAMENTO E DELL'ARREDAMENTONON ALTROVE CLASSIFICATI
551;CONCIATORI E TINTORI DI PELLI, SIMILPELLI E CUOIO
552;CALZOLAI
553;BORSETTAI, VALIGIAI E ASSIMILATI
554;ADDETTI ALLA LAVORAZIONE DELLE PELLI, SIMILPELLI E DEL CUOIO NON ALTROVE CLASSIFICATI
561;SEGATORI E PIALLATORI DEL LEGNAME
562;FALEGNAMI E MOBILIERI IN LEGNO E FORMICA
563;TORNITORI, INTAGLIATORI, INCISORI, DEL LEGNO E ASSIMILATI
564;LIUTAI E ASSIMILATI
565;BOTTAI, CARRADORI E ASSIMILATI
566;CARPENTIERI IN LEGNO
567;MOBILIERI IN CANNA, VIMINI E GIUNCHI, CESTAI, CANESTRAI, STUOIAI E ASSIMILATI
568;VERNICIATORI E LUCIDATORI DEL LEGNO E PAGLIA
569;ADDETTI ALLA LAVORAZIONE DEL LEGNO E DEI MATERIALI LEGNOSI NON ALTROVE CLASSIFICATI
571;ANALIZZATORI, CAMPIONATORI, DOSATORI E ASSIMILATI
572;COLORISTI
573;PETROLIERI
574;GOMMAI
575;PLASTICISTI
576;FIAMMIFERAI
577;PIROTECNICI E ARTIFICIERI
578;PROFUMISTI, SAPONIERI E ASSIMILATI
579;SORVEGLIANTI DI APPARECCHI CHIMICI E ALTRI ADDETTI ALLE LAVORAZIONI CHIMICHE NON ALTROVE CLASSIFICATE
581;CARTAI E CARTONAI
582;CARTOTECNICI
583;ADDETTI ALLA LAVORAZIONE E FABBRICAZIONE DELLA CARTA NON ALTROVE CLASSIFICATI
584;COMPOSITORI
585;IMPRESSORI
586;LITOGRAFI E ZINCOGRAFI
587;FOTOGRAFI E FOTOTECNICI
588;LEGATORI
589;ADDETTI ALLE LAVORAZIONI POLIGRAFICHE E DI LEGATORIA NON ALTROVE CLASSIFICATI
591;VERIFICATORI DI PRODOTTI
592;IMBALLATORI, INSCATOLATORI, IMBOTTIGLIATORI E ASSIMILATI
611;CAPIMASTRI
612;MURATORI
613;ARMATORI, CEMENTISTI E FERRAIOLI
614;STUCCATORI, DECORATORI E PITTORI EDILI
615;PAVIMENTATORI ADILI, STRADALI E ASSIMILATI
616;ARMATORI DI GALLERIE, DI LINEE FERROTRAMVIARIE E ASSIMILATI
617;CONDUTTORI DI MACCHINE EDILI E ASSIMILATI
618;CONTONIERI STRADALI E FERROVIARI
619;MANOVALI EDILI, STERRATORI E ASSIMILATI
621;CENTRALISTI E CABINISTI
622;ELETTRICISTI
623;ELETTROTECNICI
624;TECNICI DELLA RADIO, DELLA TELEVISIONE, DEL CINEMA E OPERATORI DI PROIEZIONE
625;INSTALLATORI DI IMPIANTI DI TELECOMUNICAZIONE
626;ADDETTI ALLA INSTALLAZIONE ED ESERCIZIO DI IMPIANTI ELETTRICI NON ALTROVE CLASSIFICATI
631;POSATORI DI TUBI
632;GASISTI
633;IDRAULICI, STAGNINI E TERMOIDRAULICI
634;CONDUTTORI DI IMPIANTI TERMICI E ASSIMILATI
711;COMMERCIANTI E ESERCENTI DI NEGOZIO
712;ESERCENTI DI EDICOLE E NEGOZI DI GIORNALI
713;COMMERCIANTI AMBULANTI
721;ASSISTENTI DI VENDITA E ASSIMILATI
722;COMMESSI DI VENDITA E BANCONIERI
723;RAPPRESENTENTI DI COMMERCIO, VIAGGIATORI, MEDIATORI E ASSIMILATI
724;RAPPRESENTANTI E MEDIATORI DEL CREDITO E ASSICURAZIONI, DEI TRASPORTI E DEI SERVIZI
725;ALTRI LAVORATORI DEL COMMERCIO NON ALTROVE CLASSIFICATI
731;ESERCENTI DI ALBERGHI, RISTORANTI E ASSIMILATI
732;ESERCENTI DI BAR, CAFFE' E ASSIMILATI
741;PORTIERI DI ALBERGHI, DI PUBBLICI ESERCIZI E ASSIMILATI
742;CUOCHI DI ALBERGHI, DI PUBBLICI ESERCIZI E ASSIMILATI
743;CAMERIERI DI ALBERGHI E ASSIMILATI
744;CAMERIERI DI RISTORANTI, DI CAFFE' E ASSIMILATI
745;BARISTI E ASSIMILATI
746;GUARDAROBIERI, FATTORINI, INSERVIENTI DI PUBBLICI ESERCIZI E ASSIMILATI
811;MACCHINISTI FERROVIARI E ASSIMILATI
812;CONDUCENTI DI TRAMVIE E SIMILI
813;DEVIATORI, MONOVRATORI, FRENATORI, FERROVIARI E TRAMVIARI
814;AUTISTI
815;GRUISTI, CARROPONTISTI E ASSIMILATI
816;CONDUCENTI DI VEICOLI A TRAZIONE ANIMALE E ASSIMILATI
817;ADDETTI AI TRASPORTI TERRESTRI NON ALTROVE CLASSIFICATI
821;UFFICIALI DI COPERTA, DI MACCHINA E PILOTI DI PORTO
822;MACCHINISTI, MOTORISTI E FUOCHISTI NAVALI
823;ADDETTI ALLA CONDUZIONE DI IMBARCAZIONI A MOTORE, A REMI, A VELA
824;MARITTIMI DI COPERTA E ASSIMILATI
831;PILOTI DI AEROMOBILI, MOTORISTI DI BORDO E ASSIMILATI
832;MOTORISTI DI AVIAZIONE A TERRA
833;ADDETTI AI TRASPORTI AEREI NON ALTROVE CLASSIFICATI
841;NOLEGGIATORI DI MEZZI DI TRASPORTO
842;SPEDIZIONIERI E SDOGANATORI
843;PALOMBARI E ASSIMILATI
851;FACCHINI, CARICATORI E SCARICATORI
852;LAVORATORI DEI TRASPORTI NON ALTROVE CLASSIFICATI
911;ESERCENTI E GESTORI DI CINEMA, TEATRI E SIMILI
912;ESERCENTI E GESTORI DI AGENZIE PER LA FORNITURA DISERVIZI
921;ASSISTENTI SOCIALI
922;INTERPRETI E TRADUTTORI
923;GRAFOLOGI E ASSIMILATI
931;INDOSSATORI 
932;FOTOMODELLE E MODELLE ARTISTICHE
933;ASSISTENTI DI VOLO E GUIDE TURISTICHE
941;BARBIERI, PARRUCCHIERI, MANICURE E ASSIMILATI
942;SMACCHIATORI, TINTORI E ASSIMILATI
951;SPAZZINI, DISINFESTATORI E ASSIMILATI
952;PULITORI, LAVAGGIATORI DI VEICOLI E ASSIMILATI
961;DOMESTICI
962;PORTIERI DI ABITAZIONE
963;COMMESSI, USCIERI, BIDELLI, INSERVIENTI DI UFFICI PUBBLICI E PRIVATI
964;SAGRESTANI
965;GUARDIANI, CUSTODI DI AZIENDE, GUARDIE CAMPESTRI EASSIMILATI
971;ADDETTI AI SERVIZI NON ALTROVE CLASSIFICATI
991;PROFESSIONI NON ALTROVE CLASSIFICABILI
999;PROFESSIONE NON INSERITA
XXX;PROFESSIONE NON INSERITA
